,Name,Status,Population,Address,location,point,latitude,longitude,altitude
440,Los Charos,Semi-Urban Community,163,"Los Charos, Trinidad and Tobago","Los Charos Road, Palo Seco, Siparia, Trinidad and Tobago","(10.1024776, -61.5957622, 0.0)",10.1024776,-61.5957622,0.0
441,Los Iros/Erin,Rural Community,902,"Los Iros/Erin, Trinidad and Tobago",,,,,
442,Mon Desir,Rural Community,2330,"Mon Desir, Trinidad and Tobago","Mon Desir, Aripero, Siparia, Trinidad and Tobago","(10.2060654, -61.5648943, 0.0)",10.2060654,-61.5648943,0.0
443,Mon Desir/Silver Stream,Semi-Urban Community,1203,"Mon Desir/Silver Stream, Trinidad and Tobago",,,,,
444,Oropouche,Urban Community,2850,"Oropouche, Trinidad and Tobago","Oropouche, Siparia, Trinidad and Tobago","(10.2170017, -61.5432008, 0.0)",10.2170017,-61.5432008,0.0
445,Palo Seco,Urban Community,1770,"Palo Seco, Trinidad and Tobago","Palo Seco, Siparia, Trinidad and Tobago","(10.0940434, -61.5878529, 0.0)",10.0940434,-61.5878529,0.0
446,Parry Lands South,Urban Community,1118,"Parry Lands South, Trinidad and Tobago",,,,,
447,Pepper Village,Urban Community,2963,"Pepper Village, Trinidad and Tobago","Pepper Village, Erin, Siparia, Trinidad and Tobago","(10.0814421, -61.650167, 0.0)",10.0814421,-61.650167,0.0
448,Point d'Or,Urban Community,1728,"Point d'Or, Trinidad and Tobago","Point D'Or, La Brea, Siparia, Trinidad and Tobago","(10.2394935, -61.610875, 0.0)",10.2394935,-61.610875,0.0
449,Quarry Village,Urban Community,3285,"Quarry Village, Trinidad and Tobago","Quarry Road, Barataria, Mount Hope, 868, Trinidad and Tobago","(10.660115, -61.4429202, 0.0)",10.660115,-61.4429202,0.0
450,Rancho Quemado,Semi-Urban Community,1820,"Rancho Quemado, Trinidad and Tobago","Rancho Quemado, Siparia, Trinidad and Tobago","(10.0809802, -61.6134315, 0.0)",10.0809802,-61.6134315,0.0
451,Robert Hill/Siparia,Urban Community,667,"Robert Hill/Siparia, Trinidad and Tobago","Robert Hill, Siparia, Trinidad and Tobago","(10.1588687, -61.5210842, 0.0)",10.1588687,-61.5210842,0.0
452,Rousillac,Urban Community,2105,"Rousillac, Trinidad and Tobago","Rousillac, La Brea, Siparia, Trinidad and Tobago","(10.210526, -61.580713, 0.0)",10.210526,-61.580713,0.0
453,Salazar Village,Semi-Urban Community,1522,"Salazar Village, Trinidad and Tobago","Salazar Trace, Guapo, Siparia, 700147, Trinidad and Tobago","(10.146092, -61.6474398, 0.0)",10.146092,-61.6474398,0.0
454,San Francique [↑ partly also in Penal/Debe],Urban Community,4206,"San Francique [↑ partly also in Penal/Debe], Trinidad and Tobago",,,,,
455,Santa Flora,Semi-Urban Community,691,"Santa Flora, Trinidad and Tobago","Santa Flora, Siparia, Trinidad and Tobago","(10.1120449, -61.5597374, 0.0)",10.1120449,-61.5597374,0.0
456,Siparia,Urban Community,6170,"Siparia, Trinidad and Tobago","Siparia, Trinidad and Tobago","(10.14716065, -61.57870316884424, 0.0)",10.14716065,-61.57870316884424,0.0
457,Sobo Village,Urban Community,1529,"Sobo Village, Trinidad and Tobago","Sobo Road, La Brea, Siparia, Trinidad and Tobago","(10.2270633, -61.6124317, 0.0)",10.2270633,-61.6124317,0.0
458,St. John,Semi-Urban Community,724,"St. John, Trinidad and Tobago","Store, Agostini Street, Saint Augustine, 686, Trinidad and Tobago","(10.6456162, -61.404294947966164, 0.0)",10.6456162,-61.404294947966164,0.0
459,St. Mary's Village,Urban Community,978,"St. Mary's Village, Trinidad and Tobago","St. Mary's, Paria Main Road, Toco, Trinidad and Tobago","(10.8678055, -60.9820892, 0.0)",10.8678055,-60.9820892,0.0
460,Sudama Village,Semi-Urban Community,1501,"Sudama Village, Trinidad and Tobago","Sudama Alley, Siparia, Trinidad and Tobago","(10.1433315, -61.5189926, 0.0)",10.1433315,-61.5189926,0.0
461,Syne Village [↑ partly also in Penal/Debe],Urban Community,2156,"Syne Village [↑ partly also in Penal/Debe], Trinidad and Tobago",,,,,
462,Thick Village,Urban Community,3417,"Thick Village, Trinidad and Tobago",,,,,
463,Vance River,Semi-Urban Community,1275,"Vance River, Trinidad and Tobago","Vance River, La Brea, Siparia, Trinidad and Tobago","(10.2021908, -61.6307194, 0.0)",10.2021908,-61.6307194,0.0
464,Vessigny,Urban Community,1109,"Vessigny, Trinidad and Tobago","Vessigny, La Brea, Siparia, Trinidad and Tobago","(10.2175607, -61.6279957, 0.0)",10.2175607,-61.6279957,0.0
465,Waddle Village,Urban Community,1085,"Waddle Village, Trinidad and Tobago","Waddle Village, Santa Flora, Siparia, Trinidad and Tobago","(10.1151232, -61.5546423, 0.0)",10.1151232,-61.5546423,0.0
466,St. Andrew,Parish,17536,"St. Andrew, Trinidad and Tobago","Andrew Street, Downtown Chaguanas, Montrose, Chaguanas, 500125, Trinidad and Tobago","(10.512677, -61.4061296, 0.0)",10.512677,-61.4061296,0.0
467,Bacolet,Community,433,"Bacolet, Trinidad and Tobago","Bacolet Public Cemetery, Scarborough, Tobago, Trinidad and Tobago","(11.175435199999999, -60.73016321551333, 0.0)",11.175435199999999,-60.73016321551333,0.0
468,Bagatelle,Community,733,"Bagatelle, Trinidad and Tobago","Bagatelle Road, Barataria, San Juan, 120110, Trinidad and Tobago","(10.661947, -61.4539039, 0.0)",10.661947,-61.4539039,0.0
469,Bethel/Mt. Gomery,Community,900,"Bethel/Mt. Gomery, Trinidad and Tobago",,,,,
470,Calder Hall/Friendsfield,Community,599,"Calder Hall/Friendsfield, Trinidad and Tobago",,,,,
471,Carnbee/Patience Hill,Community,506,"Carnbee/Patience Hill, Trinidad and Tobago","Patience Hill, Montgomery, Scarborough, Tobago, Trinidad and Tobago","(11.196072, -60.7666187, 0.0)",11.196072,-60.7666187,0.0
472,Cinnamon Hall (Government House),Community,1184,"Cinnamon Hall (Government House), Trinidad and Tobago",,,,,
473,Darrel Spring,Community,1870,"Darrel Spring, Trinidad and Tobago",,,,,
474,Idlewild/Whim,Community,1812,"Idlewild/Whim, Trinidad and Tobago","Idlewild Crown Tr, Montgomery, Scarborough, Tobago, Trinidad and Tobago","(11.1966173, -60.7439368, 0.0)",11.1966173,-60.7439368,0.0
475,Lambeau,Community,1278,"Lambeau, Trinidad and Tobago","Lambeau, Scarborough, Tobago, Trinidad and Tobago","(11.1677964, -60.7588912, 0.0)",11.1677964,-60.7588912,0.0
476,Mount Grace,Community,1934,"Mount Grace, Trinidad and Tobago","Trinidad y Tobago, Ba. Las Américas, Conavi, Hernandarias, Alto Paraná, Región Oriental, 7220, Paraguay","(-25.4053367, -54.6225708, 0.0)",-25.4053367,-54.6225708,0.0
477,Mount Marie,Community,244,"Mount Marie, Trinidad and Tobago",,,,,
478,Patience Hill,Community,1106,"Patience Hill, Trinidad and Tobago","Patience Hill, Scarborough, Tobago, Trinidad and Tobago","(11.1868306, -60.7692321, 0.0)",11.1868306,-60.7692321,0.0
479,Sargeant Cain,Community,427,"Sargeant Cain, Trinidad and Tobago","Sargeant Cain Road, Scarborough, Tobago, Trinidad and Tobago","(11.1843846, -60.7304285, 0.0)",11.1843846,-60.7304285,0.0
480,Scarborough,Community,1167,"Scarborough, Trinidad and Tobago","Scarborough, Tobago, Trinidad and Tobago","(11.1852893, -60.735024, 0.0)",11.1852893,-60.735024,0.0
481,Sherwood Park,Community,866,"Sherwood Park, Trinidad and Tobago","Sherwood Park, Hampden, Carnbee, Tobago, Trinidad and Tobago","(11.1663245, -60.7794264, 0.0)",11.1663245,-60.7794264,0.0
482,Signal Hill/Patience Hill,Community,1113,"Signal Hill/Patience Hill, Trinidad and Tobago","Scarborough General Hospital, Signal Hill Road, Montgomery, Scarborough, Tobago, Trinidad and Tobago","(11.18017635, -60.75336770674157, 0.0)",11.18017635,-60.75336770674157,0.0
483,Spring Garden/Signal Hill,Community,1345,"Spring Garden/Signal Hill, Trinidad and Tobago","Signal Hill, Scarborough, Tobago, Trinidad and Tobago","(11.1794289, -60.76349, 0.0)",11.1794289,-60.76349,0.0
484,St. David,Parish,8733,"St. David, Trinidad and Tobago","David Street, Ellerslie Park, Federation Park, Port of Spain, 110706, Trinidad and Tobago","(10.6799695, -61.5380616, 0.0)",10.6799695,-61.5380616,0.0
485,Arnos Vale,Community,449,"Arnos Vale, Trinidad and Tobago",,,,,
486,Bethesda,Community,1216,"Bethesda, Trinidad and Tobago","Bethesda Village Street, Montgomery, Plymouth, Tobago, Trinidad and Tobago","(11.2230046, -60.7698548, 0.0)",11.2230046,-60.7698548,0.0
487,Castara,Community,580,"Castara, Trinidad and Tobago","Castara, Tobago, Trinidad and Tobago","(11.2809554, -60.6934268, 0.0)",11.2809554,-60.6934268,0.0
488,Culloden,Community,711,"Culloden, Trinidad and Tobago","Culloden Village Street, Scarborough, Tobago, Trinidad and Tobago","(11.2415781, -60.7372004, 0.0)",11.2415781,-60.7372004,0.0
489,Golden Lane,Community,723,"Golden Lane, Trinidad and Tobago","Golden View, Arouca, El Dorado, Trinidad and Tobago","(10.652494950000001, -61.36983066646774, 0.0)",10.652494950000001,-61.36983066646774,0.0
490,Les Coteaux,Community,665,"Les Coteaux, Trinidad and Tobago","Les Coteaux, Scarborough, Tobago, Trinidad and Tobago","(11.2253667, -60.7428592, 0.0)",11.2253667,-60.7428592,0.0
491,Mary's Hill,Community,560,"Mary's Hill, Trinidad and Tobago","Mary's Hill, Montgomery, Scarborough, Tobago, Trinidad and Tobago","(11.2093802, -60.7541553, 0.0)",11.2093802,-60.7541553,0.0
492,Moriah,Community,2151,"Moriah, Trinidad and Tobago","Moriah, Scarborough, Tobago, Trinidad and Tobago","(11.2494045, -60.7154367, 0.0)",11.2494045,-60.7154367,0.0
493,Plymouth,Community,1192,"Plymouth, Trinidad and Tobago","Plymouth, Scarborough, Tobago, Trinidad and Tobago","(11.2199522, -60.7738418, 0.0)",11.2199522,-60.7738418,0.0
494,Whim,Community,486,"Whim, Trinidad and Tobago","Whim, Scarborough, Tobago, Trinidad and Tobago","(11.2010885, -60.7470341, 0.0)",11.2010885,-60.7470341,0.0
495,St. George,Parish,6875,"St. George, Trinidad and Tobago","Calle Tobago, Colonia Trinidad, El Refugio, Municipio de El Refugio, Departamento de Ahuachapán, República de El Salvador","(13.9684723, -89.7068201, 0.0)",13.9684723,-89.7068201,0.0
496,Belmont,Community,945,"Belmont, Trinidad and Tobago","Belmont, Port of Spain, 000, Trinidad and Tobago","(10.6685371, -61.507102, 0.0)",10.6685371,-61.507102,0.0
497,Concordia,Community,944,"Concordia, Trinidad and Tobago",,,,,
498,Easterfield,Community,877,"Easterfield, Trinidad and Tobago","Easterfield Road, Mason Hall, Tobago, Trinidad and Tobago","(11.2270791, -60.7045276, 0.0)",11.2270791,-60.7045276,0.0
499,Hope/Blenheim,Community,711,"Hope/Blenheim, Trinidad and Tobago","Hope, Scarborough, Tobago, Trinidad and Tobago","(11.1944187, -60.692749, 0.0)",11.1944187,-60.692749,0.0
500,Hope Farm/John Dial,Community,410,"Hope Farm/John Dial, Trinidad and Tobago",,,,,
501,Mason Hall,Community,1378,"Mason Hall, Trinidad and Tobago","Mason Hall, Scarborough, Tobago, Trinidad and Tobago","(11.2198826, -60.7141381, 0.0)",11.2198826,-60.7141381,0.0
502,Mount St. George,Community,1609,"Mount St. George, Trinidad and Tobago","Mount Saint George, Scarborough, Tobago, Trinidad and Tobago","(11.1936976, -60.6787091, 0.0)",11.1936976,-60.6787091,0.0
503,St. John,Parish,2825,"St. John, Trinidad and Tobago","Store, Agostini Street, Saint Augustine, 686, Trinidad and Tobago","(10.6456162, -61.404294947966164, 0.0)",10.6456162,-61.404294947966164,0.0
504,Bloody Bay,Community,144,"Bloody Bay, Trinidad and Tobago","Bloody Bay, Tobago, Trinidad and Tobago","(11.2931048, -60.6294267, 0.0)",11.2931048,-60.6294267,0.0
505,Campbleton/Charlotteville,Community,188,"Campbleton/Charlotteville, Trinidad and Tobago","Fort Campbleton, Charlotteville, Tobago, Trinidad and Tobago","(11.3196544, -60.5559109, 0.0)",11.3196544,-60.5559109,0.0
506,Charlotteville,Community,863,"Charlotteville, Trinidad and Tobago","Charlotteville, Scarborough, Tobago, Trinidad and Tobago","(11.3223399, -60.5473352, 0.0)",11.3223399,-60.5473352,0.0
507,L'Anse Fourmi,Community,273,"L'Anse Fourmi, Trinidad and Tobago","L'anse Fourmi, Tobago, Trinidad and Tobago","(11.3106249, -60.6159008, 0.0)",11.3106249,-60.6159008,0.0
508,Lucy Vale,Community,408,"Lucy Vale, Trinidad and Tobago","Lucy Street, Downtown Chaguanas, Montrose, Chaguanas, 500125, Trinidad and Tobago","(10.5134087, -61.3991113, 0.0)",10.5134087,-61.3991113,0.0
509,Parlatuvier,Community,315,"Parlatuvier, Trinidad and Tobago","Parlatuvier, Tobago, Trinidad and Tobago","(11.2980249, -60.6510866, 0.0)",11.2980249,-60.6510866,0.0
510,Speyside,Community,18,"Speyside, Trinidad and Tobago","Speyside, Charlotteville, Tobago, Trinidad and Tobago","(11.2936839, -60.533741, 0.0)",11.2936839,-60.533741,0.0
511,Top Hill,Community,616,"Top Hill, Trinidad and Tobago","Top Hill, Speyside, Tobago, Trinidad and Tobago","(11.2961583, -60.5363776, 0.0)",11.2961583,-60.5363776,0.0
512,St. Mary,Parish,3297,"St. Mary, Trinidad and Tobago","Mary Street, Ellerslie Park, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6711621, -61.5201335, 0.0)",10.6711621,-61.5201335,0.0
513,Glamorgan,Community,719,"Glamorgan, Trinidad and Tobago","Glamorgan, Scarborough, Tobago, Trinidad and Tobago","(11.2216186, -60.6134258, 0.0)",11.2216186,-60.6134258,0.0
514,Goodwood,Community,1458,"Goodwood, Trinidad and Tobago","Goodwood, Tobago, Trinidad and Tobago","(11.2024979, -60.6347122, 0.0)",11.2024979,-60.6347122,0.0
515,Pembroke,Community,1119,"Pembroke, Trinidad and Tobago","Pembroke, Tobago, Trinidad and Tobago","(11.217221, -60.6203, 0.0)",11.217221,-60.6203,0.0
516,St. Patrick,Parish,15560,"St. Patrick, Trinidad and Tobago","St Patrick, Hampden, Mount Pleasant, Tobago, Trinidad and Tobago","(11.163382, -60.7913793, 0.0)",11.163382,-60.7913793,0.0
517,Bethel,Community,261,"Bethel, Trinidad and Tobago","Bethel, Scarborough, Tobago, Trinidad and Tobago","(11.1828305, -60.7849284, 0.0)",11.1828305,-60.7849284,0.0
518,Bethlehem,Community,763,"Bethlehem, Trinidad and Tobago","Bethlehem Pk, Edinburgh Gardens, Chaguanas, Couva-Tabaquite-Talparo, 500125, Trinidad and Tobago","(10.4900486, -61.4110262, 0.0)",10.4900486,-61.4110262,0.0
519,Black Rock,Community,1358,"Black Rock, Trinidad and Tobago","Black Rock, Scarborough, Tobago, Trinidad and Tobago","(11.2053014, -60.7816697, 0.0)",11.2053014,-60.7816697,0.0
520,Bon Accord,Community,2327,"Bon Accord, Trinidad and Tobago","Bon-Accord, Crown Point, Tobago, Trinidad and Tobago","(11.1549603, -60.82448, 0.0)",11.1549603,-60.82448,0.0
521,Buccoo/Coral Gardens,Community,916,"Buccoo/Coral Gardens, Trinidad and Tobago","Buccoo Cemetery, Coral Gardens, Mount Pleasant, Tobago, Trinidad and Tobago","(11.169895350000001, -60.7982207058548, 0.0)",11.169895350000001,-60.7982207058548,0.0
522,Canaan,Community,2120,"Canaan, Trinidad and Tobago","Canaan, Scarborough, Tobago, Trinidad and Tobago","(11.1586553, -60.810305, 0.0)",11.1586553,-60.810305,0.0
523,Carnbee/All Field Trace,Community,1216,"Carnbee/All Field Trace, Trinidad and Tobago",,,,,
524,Crown Point,Community,554,"Crown Point, Trinidad and Tobago","Crown Point, Tobago, Trinidad and Tobago","(11.1535454, -60.8387017, 0.0)",11.1535454,-60.8387017,0.0
525,Lowlands,Community,1237,"Lowlands, Trinidad and Tobago","Lowlands, Scarborough, Tobago, Trinidad and Tobago","(11.1534529, -60.7831797, 0.0)",11.1534529,-60.7831797,0.0
526,Milford Court/Pigeon Point,Community,881,"Milford Court/Pigeon Point, Trinidad and Tobago",,,,,
527,Mt. Irvine/Black Rock,Community,565,"Mt. Irvine/Black Rock, Trinidad and Tobago",,,,,
528,Mt. Pleasant,Community,945,"Mt. Pleasant, Trinidad and Tobago","Mount Pleasant, Scarborough, Tobago, Trinidad and Tobago","(11.1670196, -60.7929427, 0.0)",11.1670196,-60.7929427,0.0
529,Old Grange/Sou Sou Lands,Community,2000,"Old Grange/Sou Sou Lands, Trinidad and Tobago","Sou Sou Lands, Morvant, Port of Spain, N/A, Trinidad and Tobago","(10.6723021, -61.46949, 0.0)",10.6723021,-61.46949,0.0
530,Orange Hill,Community,416,"Orange Hill, Trinidad and Tobago","Orange Field, Couva-Tabaquite-Talparo, 1868, Trinidad and Tobago","(10.4755222, -61.4308179, 0.0)",10.4755222,-61.4308179,0.0
531,St. Paul,Parish,6048,"St. Paul, Trinidad and Tobago","Paul's Auto Transmission Service, 28, Lio Street, Barataria, El Socorro, 868 793-7962, Trinidad and Tobago","(10.6314137, -61.4555996, 0.0)",10.6314137,-61.4555996,0.0
532,Argyle/Kendal,Community,625,"Argyle/Kendal, Trinidad and Tobago",,,,,
533,Belle Gardens,Community,544,"Belle Gardens, Trinidad and Tobago","Belle Garden, Roxborough, Tobago, Trinidad and Tobago","(11.2354557, -60.602823, 0.0)",11.2354557,-60.602823,0.0
534,Betsy's Hope,Community,492,"Betsy's Hope, Trinidad and Tobago","Betsy's Hope, Roxborough, Tobago, Trinidad and Tobago","(11.2493976, -60.569623, 0.0)",11.2493976,-60.569623,0.0
535,Delaford,Community,594,"Delaford, Trinidad and Tobago","Delaford, Roxborough, Tobago, Trinidad and Tobago","(11.2664983, -60.555066, 0.0)",11.2664983,-60.555066,0.0
536,Delaford/Louis d'Or/Lands Settlement,Community,907,"Delaford/Louis d'Or/Lands Settlement, Trinidad and Tobago",,,,,
537,King's Bay,Community,300,"King's Bay, Trinidad and Tobago","King's, 94, Western Main Road, Ellerslie Park, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.67298945, -61.53665062109742, 0.0)",10.67298945,-61.53665062109742,0.0
538,Roxborough,Community,2089,"Roxborough, Trinidad and Tobago","Roxborough, Scarborough, Tobago, Trinidad and Tobago","(11.2495139, -60.5762208, 0.0)",11.2495139,-60.5762208,0.0
539,Zion Hill,Community,492,"Zion Hill, Trinidad and Tobago","Zion Hill, Belle Garden, Tobago, Trinidad and Tobago","(11.2340229, -60.6029758, 0.0)",11.2340229,-60.6029758,0.0
540,Tunapuna/Piarco,Region,215119,"Tunapuna/Piarco, Trinidad and Tobago","Tunapuna Piarco Regional Coroporation, Centenary Street, Arouca, Tunapuna, 686, Trinidad and Tobago","(10.64475805, -61.38863731122983, 0.0)",10.64475805,-61.38863731122983,0.0
541,Acono Village,Semi-Urban Community,2050,"Acono Village, Trinidad and Tobago","Acono, Port of Spain, 310407, Trinidad and Tobago","(10.6947765, -61.4020788, 0.0)",10.6947765,-61.4020788,0.0
542,Arima Heights/Temple Village,Rural Community,375,"Arima Heights/Temple Village, Trinidad and Tobago",,,,,
543,Arouca,Urban Community,12530,"Arouca, Trinidad and Tobago","Arouca, Five Rivers, 350509, Trinidad and Tobago","(10.6349851, -61.3399307, 0.0)",10.6349851,-61.3399307,0.0
544,Bamboo Grove [↑ partly also in San Juan/Laventille],Urban Community,3562,"Bamboo Grove [↑ partly also in San Juan/Laventille], Trinidad and Tobago",,,,,
545,Bejucal [↑ partly also in San Juan/Laventille],Semi-Urban Community,1753,"Bejucal [↑ partly also in San Juan/Laventille], Trinidad and Tobago",,,,,
546,Blanchisseuse [↑ partly also in San Juan/Laventille],Rural Community,1375,"Blanchisseuse [↑ partly also in San Juan/Laventille], Trinidad and Tobago",,,,,
547,Bon Air Development,Urban Community,5748,"Bon Air Development, Trinidad and Tobago",,,,,
548,Bon Air West Development,Urban Community,2470,"Bon Air West Development, Trinidad and Tobago",,,,,
549,Brasso Seco Village,Rural Community,447,"Brasso Seco Village, Trinidad and Tobago","Brasso Seco, Port of Spain, Trinidad and Tobago","(10.7461564, -61.2662646, 0.0)",10.7461564,-61.2662646,0.0
550,Cane Farm,Urban Community,1293,"Cane Farm, Trinidad and Tobago","Sugar Cane Drive, Orchard Gardens, Chaguanas, 500125, Trinidad and Tobago","(10.5197839, -61.4222736, 0.0)",10.5197839,-61.4222736,0.0
551,Carapo,Urban Community,4950,"Carapo, Trinidad and Tobago","Carapo Road, La Horquetta, Saint Helena, 351443, Trinidad and Tobago","(10.5907229, -61.3127227, 0.0)",10.5907229,-61.3127227,0.0
552,Caroni Village,Urban Community,999,"Caroni Village, Trinidad and Tobago","Caroni River, ???, Trinidad and Tobago","(10.5957987, -61.3599499, 0.0)",10.5957987,-61.3599499,0.0
553,Caura,Rural Community,1706,"Caura, Trinidad and Tobago","Caura River Pools, Port of Spain, Trinidad and Tobago","(10.69042555, -61.3590476742617, 0.0)",10.69042555,-61.3590476742617,0.0
554,Centeno,Rural Community,165,"Centeno, Trinidad and Tobago","Centeno Street, Marabella, San Fernando, VISTABELLA, Trinidad and Tobago","(10.3084682, -61.455006, 0.0)",10.3084682,-61.455006,0.0
555,Cleaver Road,Rural Community,604,"Cleaver Road, Trinidad and Tobago","Cleaver Road, Malabar, D'Abadie, 351350, Trinidad and Tobago","(10.639086, -61.3006836, 0.0)",10.639086,-61.3006836,0.0
556,Cunupia [↑ partly also in Chaguanas & Couva/Tabaquite/Talparo],Urban Community,8786,"Cunupia [↑ partly also in Chaguanas & Couva/Tabaquite/Talparo], Trinidad and Tobago",,,,,
557,Curepe,Urban Community,8740,"Curepe, Trinidad and Tobago","Curepe, Port of Spain, 310407, Trinidad and Tobago","(10.6502517, -61.4093463, 0.0)",10.6502517,-61.4093463,0.0
558,D'Abadie,Urban Community,5835,"D'Abadie, Trinidad and Tobago","D'Abadie, Arima, 351350, Trinidad and Tobago","(10.6289906, -61.3109079, 0.0)",10.6289906,-61.3109079,0.0
559,Dinsley,Urban Community,2667,"Dinsley, Trinidad and Tobago","Dinsley Gardens, Arouca, Tacarigua, Trinidad and Tobago","(10.63733545, -61.36288875502838, 0.0)",10.63733545,-61.36288875502838,0.0
560,Dinsley/Trincity,Urban Community,9132,"Dinsley/Trincity, Trinidad and Tobago","Dinsley Gardens, Arouca, Tacarigua, Trinidad and Tobago","(10.63733545, -61.36288875502838, 0.0)",10.63733545,-61.36288875502838,0.0
561,El Dorado,Urban Community,6439,"El Dorado, Trinidad and Tobago","El Dorado, Port of Spain, 686, Trinidad and Tobago","(10.6477579, -61.3723128, 0.0)",10.6477579,-61.3723128,0.0
562,Eric Williams Medical Sciences Complex,Urban Community,139,"Eric Williams Medical Sciences Complex, Trinidad and Tobago","Eric Williams Medical Sciences Complex, Uriah Butler Hwy Bldg Champs Fleurs, Bamboo Settlement Number 3, Barataria, Curepe, 12333, Trinidad and Tobago","(10.64693785, -61.42272363022934, 0.0)",10.64693785,-61.42272363022934,0.0
563,Five Rivers,Urban Community,4702,"Five Rivers, Trinidad and Tobago","Five Rivers, Trincity, 1 868-681-2822, Trinidad and Tobago","(10.6417827, -61.3445774, 0.0)",10.6417827,-61.3445774,0.0
564,Frederick Settlement,Urban Community,1251,"Frederick Settlement, Trinidad and Tobago","Frederick Settlement, 686, Trinidad and Tobago","(10.6055524, -61.3976065, 0.0)",10.6055524,-61.3976065,0.0
565,Heights of Guanapo,Rural Community,1145,"Heights of Guanapo, Trinidad and Tobago","Heights of Guanapo (Quarry), Santa Rosa, Aripo, 300831, Trinidad and Tobago","(10.6781694, -61.2588383, 0.0)",10.6781694,-61.2588383,0.0
566,Kandahar,Semi-Urban Community,2370,"Kandahar, Trinidad and Tobago","Kandahar Street, Ellerslie Park, Federation Park, Port of Spain, 190130, Trinidad and Tobago","(10.6773329, -61.5315215, 0.0)",10.6773329,-61.5315215,0.0
567,Kelly Village,Urban Community,4178,"Kelly Village, Trinidad and Tobago","Kelly Village, ???, Trinidad and Tobago","(10.5866225, -61.3632924, 0.0)",10.5866225,-61.3632924,0.0
568,La Baja,Urban Community,1218,"La Baja, Trinidad and Tobago","La Baja, La Mango, 310407, Trinidad and Tobago","(10.6679239, -61.4145921, 0.0)",10.6679239,-61.4145921,0.0
569,La Florisante,Urban Community,1390,"La Florisante, Trinidad and Tobago",,,,,
570,La Horquetta,Urban Community,13614,"La Horquetta, Trinidad and Tobago","La Horquetta, San Raphael, 300831, Trinidad and Tobago","(10.5973023, -61.2754374, 0.0)",10.5973023,-61.2754374,0.0
571,La Laja,Rural Community,40,"La Laja, Trinidad and Tobago","Trinidad y tobago, Bocamar, Colonia Praderas de Guadalupe, Acapulco, Acapulco de Juárez, Guerrero, 39300, México","(16.8709295, -99.878441, 0.0)",16.8709295,-99.878441,0.0
572,La Mango Village,Urban Community,1064,"La Mango Village, Trinidad and Tobago","La Mango, Saint Joseph, 310407, Trinidad and Tobago","(10.6633791, -61.4120214, 0.0)",10.6633791,-61.4120214,0.0
573,La Paille Village,Urban Community,1340,"La Paille Village, Trinidad and Tobago","La Paille, Valsayn, 686, Trinidad and Tobago","(10.6165721, -61.3999295, 0.0)",10.6165721,-61.3999295,0.0
574,La Resource,Urban Community,1355,"La Resource, Trinidad and Tobago","La Resource Road, John John, Port of Spain, 000, Trinidad and Tobago","(10.6556569, -61.5035751, 0.0)",10.6556569,-61.5035751,0.0
575,La Seiva Village,Urban Community,1456,"La Seiva Village, Trinidad and Tobago","La Seiva, Saint Joseph, 310407, Trinidad and Tobago","(10.6770685, -61.4108155, 0.0)",10.6770685,-61.4108155,0.0
576,Lopinot Village,Rural Community,1365,"Lopinot Village, Trinidad and Tobago","Lopinot, Port of Spain, Trinidad and Tobago","(10.6919575, -61.3254584, 0.0)",10.6919575,-61.3254584,0.0
577,Macoya,Urban Community,2130,"Macoya, Trinidad and Tobago","Macoya Road, Arouca, Tunapuna, 686, Trinidad and Tobago","(10.6452389, -61.3834061, 0.0)",10.6452389,-61.3834061,0.0
578,Maloney Gardens,Urban Community,10768,"Maloney Gardens, Trinidad and Tobago","Maloney Gardens, Arouca, Maloney, 00129, Trinidad and Tobago","(10.6226906, -61.3190963, 0.0)",10.6226906,-61.3190963,0.0
579,Maracas/St. Joseph,Urban Community,3495,"Maracas/St. Joseph, Trinidad and Tobago","Maracas, Port of Spain, Trinidad and Tobago","(10.7565233, -61.4399756, 0.0)",10.7565233,-61.4399756,0.0
580,Mausica,Urban Community,3214,"Mausica, Trinidad and Tobago","Mausica River, 351443, Trinidad and Tobago","(10.597712, -61.3055885, 0.0)",10.597712,-61.3055885,0.0
581,Mount St. Benedict,Semi-Urban Community,47,"Mount St. Benedict, Trinidad and Tobago","Mount St. Benedict, Saint John's Road, Poolside, La Mango, 310407, Trinidad and Tobago","(10.6613566, -61.3951905, 0.0)",10.6613566,-61.3951905,0.0
582,Olton Road,Urban Community,1474,"Olton Road, Trinidad and Tobago","Olton Road, Belmont, Port of Spain, 000, Trinidad and Tobago","(10.6609217, -61.5024466, 0.0)",10.6609217,-61.5024466,0.0
583,Oropuna Village/Piarco,Semi-Urban Community,2661,"Oropuna Village/Piarco, Trinidad and Tobago","Oropuna River, Arouca, Piarco, ???, Trinidad and Tobago","(10.608481, -61.3373297, 0.0)",10.608481,-61.3373297,0.0
584,Paradise Gardens,Urban Community,970,"Paradise Gardens, Trinidad and Tobago","Paradise, Trincity Mall, Sunrise Park, Arouca, Trincity, 350509, Trinidad and Tobago","(10.6269648, -61.3542334, 0.0)",10.6269648,-61.3542334,0.0
585,Pasea Extension,Semi-Urban Community,3778,"Pasea Extension, Trinidad and Tobago",,,,,
